text,label
"Your bank account has been suspended. Click the link to verify immediately",1
"Urgent: Update your KYC to avoid account blockage",1
"You have won a lottery of 10 lakh rupees. Claim now",1
"Reset your password by clicking this link",1
"Dear user, unusual activity detected in your account",1
"Limited offer!!! Buy now and get 50% discount",1
"Verify your Paytm account to continue services",1
"Your OTP is 458912. Do not share with anyone",0
"Your order has been successfully delivered",0
"Meeting scheduled tomorrow at 10 AM",0
"Here is the invoice for your recent purchase",0
"Your subscription has been renewed successfully",0
"Welcome to our service. Thank you for registering",0
"Reminder: Project submission deadline is tomorrow",0
